player_name,placement,has_killacure24,has_Chieffelix47,has_Rook,has_MarkMadness,has_socom1880,has_Arturias13,has_clayschubiner,kills,kdRatio,score,timePlayed,headshots,executions,assists,percentTimeMoving,longestStreak,scorePerMinute,damageDone,distanceTraveled,deaths,damageTaken,damageDonePerMinute,medalXp,objectiveTeamWiped,objectiveLastStandKill,matchXp,scoreXp,totalXp,challengeXp,objectiveDestroyedVehicleMedium,teamSurvivalTime,objectiveBrDownEnemyCircle3,objectiveBrDownEnemyCircle1,objectiveBrMissionPickupTablet,bonusXp,objectiveReviver,objectiveBrKioskBuy,objectiveBrDownEnemyCircle6,gulagDeaths,gulagKills,objectiveBrCacheOpen,miscXp,match_id,match_modeId,match_mapId,match_duration,match_playerCount,match_teamCount,match_mapName
socom1880,6,False,True,False,False,True,False,True,1.0,1.0,3000.0,1555.0,0.0,0.0,0.0,96.327095,2.0,115.7556270096463,638.0,584188.75,1.0,149.0,24.617363344051444,15.0,,2.0,11833.0,5760.0,17608.0,0.0,,1436448.0,,1.0,5.0,0.0,,1.0,,0.0,0.0,5.0,0.0,7543913256965420782,br_25,mp_donetsk2,1587.0,151,51,Verdansk
MarkMadness,13,False,False,False,True,True,True,True,5.0,2.5,3750.0,1170.0,1.0,0.0,0.0,97.39049,3.0,192.30769230769232,1930.0,400686.5,2.0,432.0,98.97435897435898,70.0,,4.0,9437.0,4950.0,14883.0,0.0,,1063824.0,,2.0,3.0,0.0,,2.0,,0.0,1.0,4.0,0.0,2530407851520172053,br_89,mp_donetsk2,1571.0,153,40,Verdansk
Arturias13,13,False,False,False,True,True,True,True,0.0,0.0,3800.0,1210.0,0.0,0.0,0.0,62.443848,0.0,188.42975206611573,32.0,446510.88,2.0,300.0,1.586776859504132,,,,,,,,,,,,,,,,,,,,,2530407851520172053,br_89,mp_donetsk2,1571.0,153,40,Verdansk
clayschubiner,13,False,False,False,True,True,True,True,2.0,1.0,975.0,1372.0,0.0,0.0,0.0,62.00942,1.0,42.63848396501458,309.0,513619.3,2.0,514.0,13.513119533527696,0.0,,1.0,9437.0,2175.0,11667.0,0.0,,1063824.0,,2.0,3.0,0.0,,,,1.0,0.0,3.0,0.0,2530407851520172053,br_89,mp_donetsk2,1571.0,153,40,Verdansk
socom1880,13,False,False,False,True,True,True,True,3.0,1.5,5225.0,1184.0,0.0,0.0,0.0,89.236435,4.0,264.7804054054054,1267.0,500035.06,2.0,352.0,64.20608108108108,50.0,1.0,3.0,9437.0,6525.0,16235.0,0.0,,1063824.0,,3.0,3.0,0.0,,2.0,,1.0,0.0,10.0,0.0,2530407851520172053,br_89,mp_donetsk2,1571.0,153,40,Verdansk
Arturias13,7,False,False,False,False,True,True,True,0.0,0.0,2000.0,1419.0,0.0,0.0,0.0,75.485794,0.0,84.56659619450316,355.0,487408.75,3.0,452.0,15.010570824524313,,,,,,,,,,,,,,,,,,,,,17133170014100098048,br_25,mp_donetsk2,1522.0,148,50,Verdansk
clayschubiner,7,False,False,False,False,True,True,True,1.0,0.5,2600.0,1420.0,0.0,0.0,0.0,94.1704,1.0,109.85915492957747,274.0,631948.2,2.0,371.0,11.577464788732394,0.0,,,11479.0,7050.0,18632.0,0.0,,1308576.0,,,5.0,0.0,1.0,1.0,,0.0,1.0,8.0,0.0,17133170014100098048,br_25,mp_donetsk2,1522.0,148,50,Verdansk
socom1880,7,False,False,False,False,True,True,True,0.0,0.0,1775.0,1419.0,0.0,0.0,0.0,74.73841,0.0,75.05285412262157,143.0,499253.97,3.0,569.0,6.046511627906977,10.0,,,11479.0,6325.0,17829.0,0.0,,1308576.0,,,5.0,0.0,,2.0,,2.0,0.0,4.0,0.0,17133170014100098048,br_25,mp_donetsk2,1522.0,148,50,Verdansk
clayschubiner,21,False,False,False,False,True,False,True,1.0,0.5,900.0,1070.0,0.0,0.0,0.0,82.8252,1.0,50.467289719626166,215.0,333844.28,2.0,495.0,12.056074766355142,10.0,,,8554.0,3100.0,11674.0,0.0,,889776.0,,,4.0,0.0,1.0,,,0.0,1.0,2.0,0.0,10137540738068226056,br_88,mp_donetsk2,1604.0,153,76,Verdansk
socom1880,21,False,False,False,False,True,False,True,2.0,1.0,2150.0,1071.0,0.0,0.0,0.0,84.771576,1.0,120.44817927170868,778.0,400647.1,2.0,605.0,43.58543417366946,0.0,,1.0,8554.0,4250.0,12984.0,0.0,,889776.0,,1.0,4.0,0.0,,,,0.0,1.0,11.0,0.0,10137540738068226056,br_88,mp_donetsk2,1604.0,153,76,Verdansk
